"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2014-10-01 00:00:00",99.9912
"2014-11-01 00:00:00",100.0985
"2014-12-01 00:00:00",100.2853
"2015-01-01 00:00:00",100.4918
"2015-02-01 00:00:00",100.6285
"2015-03-01 00:00:00",100.6881
"2015-04-01 00:00:00",100.6859
"2015-05-01 00:00:00",100.6197
"2015-06-01 00:00:00",100.5681
"2015-07-01 00:00:00",100.4593
"2015-08-01 00:00:00",100.37
"2015-09-01 00:00:00",100.3409
"2015-10-01 00:00:00",100.4461
"2015-11-01 00:00:00",100.5811
"2015-12-01 00:00:00",100.6265
"2016-01-01 00:00:00",100.5592
"2016-02-01 00:00:00",100.4509
"2016-03-01 00:00:00",100.3876
"2016-04-01 00:00:00",100.3918
"2016-05-01 00:00:00",100.4448
"2016-06-01 00:00:00",100.4342
"2016-07-01 00:00:00",100.3544
"2016-08-01 00:00:00",100.3372
"2016-09-01 00:00:00",100.3716
"2016-10-01 00:00:00",100.4074
"2016-11-01 00:00:00",100.477
"2016-12-01 00:00:00",100.5321
"2017-01-01 00:00:00",100.5256
"2017-02-01 00:00:00",100.5507
"2017-03-01 00:00:00",100.6519
"2017-04-01 00:00:00",100.7607
"2017-05-01 00:00:00",100.8326
"2017-06-01 00:00:00",100.8578
"2017-07-01 00:00:00",100.8901
"2017-08-01 00:00:00",100.9532
"2017-09-01 00:00:00",101.0278
"2017-10-01 00:00:00",101.115
"2017-11-01 00:00:00",101.1389
"2017-12-01 00:00:00",101.1303
"2018-01-01 00:00:00",101.1297
"2018-02-01 00:00:00",101.1473
"2018-03-01 00:00:00",101.1559
"2018-04-01 00:00:00",101.1432
"2018-05-01 00:00:00",101.138
"2018-06-01 00:00:00",101.154
"2018-07-01 00:00:00",101.1776
"2018-08-01 00:00:00",101.1326
"2018-09-01 00:00:00",101.0626
"2018-10-01 00:00:00",100.9693
"2018-11-01 00:00:00",100.8615
"2018-12-01 00:00:00",100.7846
"2019-01-01 00:00:00",100.7591
"2019-02-01 00:00:00",100.8274
"2019-03-01 00:00:00",100.9067
"2019-04-01 00:00:00",100.9203
"2019-05-01 00:00:00",100.887
"2019-06-01 00:00:00",100.7908
"2019-07-01 00:00:00",100.6626
"2019-08-01 00:00:00",100.5132
"2019-09-01 00:00:00",100.4932
"2019-10-01 00:00:00",100.5656
"2019-11-01 00:00:00",100.7056
"2019-12-01 00:00:00",100.8067
"2020-01-01 00:00:00",100.7352
"2020-02-01 00:00:00",100.2464
"2020-03-01 00:00:00",99.19904
"2020-04-01 00:00:00",98.08183
"2020-05-01 00:00:00",97.73337
"2020-06-01 00:00:00",97.93748
"2020-07-01 00:00:00",98.21456
"2020-08-01 00:00:00",98.46961
"2020-09-01 00:00:00",98.68679
"2020-10-01 00:00:00",98.76849
"2020-11-01 00:00:00",98.78
"2020-12-01 00:00:00",98.89377
"2021-01-01 00:00:00",99.03357
"2021-02-01 00:00:00",99.31075
"2021-03-01 00:00:00",99.72038
"2021-04-01 00:00:00",100.0461
"2021-05-01 00:00:00",100.2919
"2021-06-01 00:00:00",100.4443
"2021-07-01 00:00:00",100.345
"2021-08-01 00:00:00",100.107
"2021-09-01 00:00:00",99.94531
"2021-10-01 00:00:00",99.76385
"2021-11-01 00:00:00",99.53703
"2021-12-01 00:00:00",99.29665
"2022-01-01 00:00:00",98.96171
"2022-02-01 00:00:00",98.49815
"2022-03-01 00:00:00",97.95447
"2022-04-01 00:00:00",97.55948
"2022-05-01 00:00:00",97.1849
"2022-06-01 00:00:00",96.81223
"2022-07-01 00:00:00",96.61287
"2022-08-01 00:00:00",96.6229
"2022-09-01 00:00:00",96.64693
"2022-10-01 00:00:00",96.74619
"2022-11-01 00:00:00",96.92728
"2022-12-01 00:00:00",97.2002
"2023-01-01 00:00:00",97.50671
"2023-02-01 00:00:00",97.75343
"2023-03-01 00:00:00",97.91819
"2023-04-01 00:00:00",98.1232
"2023-05-01 00:00:00",98.30814
"2023-06-01 00:00:00",98.4873
"2023-07-01 00:00:00",98.57362
"2023-08-01 00:00:00",98.47902
"2023-09-01 00:00:00",98.32111
"2023-10-01 00:00:00",98.21905
"2023-11-01 00:00:00",98.32683
"2023-12-01 00:00:00",98.65192
"2024-01-01 00:00:00",98.99628
"2024-02-01 00:00:00",99.18246
"2024-03-01 00:00:00",99.23889
"2024-04-01 00:00:00",99.16154
"2024-05-01 00:00:00",99.01795
"2024-06-01 00:00:00",98.93253
