,dates,standard_chicken,standard_electricity,standard_gasoline,standard_inflation,standard_confidence,chicken,electricity,gasoline,inflation,confidence
0,2014-01-31,-0.38308414121303236,-0.7605288566464635,0.604914180254753,-0.5218388549456695,0.1991184558783311,1.529,0.134,3.32,1.6,100.0
1,2014-02-28,-0.5228878364258336,-0.7605288566464635,0.6696986722581943,-0.7440841083933557,0.1991184558783311,1.504,0.134,3.364,1.1,100.0
2,2014-03-31,-0.2992019240853506,-0.6854805545531446,0.9170576417258799,-0.5662879056352068,0.1991184558783311,1.544,0.135,3.532,1.5,100.0
3,2014-04-30,-0.37749199340451967,-0.9856737629264203,1.1040492436449034,-0.3440426521875206,0.1991184558783311,1.53,0.131,3.659,2.0,100.0
4,2014-05-31,-0.23209615038320572,-0.6104322524598257,1.1511652378292245,-0.2995936014979833,0.1991184558783311,1.556,0.136,3.691,2.1,100.0
5,2014-06-30,-0.5284799842343463,-0.08509413780659533,1.1570547371022648,-0.2995936014979833,0.1991184558783311,1.503,0.143,3.695,2.1,100.0
6,2014-07-31,-0.5732171667024416,-0.08509413780659533,1.065767498370143,-0.3440426521875206,0.1991184558783311,1.495,0.143,3.633,2.0,100.0
7,2014-08-31,-0.1426217854470125,-0.08509413780659533,0.8419665259946181,-0.4773898042561323,0.1991184558783311,1.572,0.143,3.481,1.7,100.0
8,2014-09-30,-0.3047940718938633,-0.23519074199323317,0.7271212901703358,-0.4773898042561323,0.19201503648237317,1.543,0.141,3.403,1.7,99.9912
9,2014-10-31,-0.2712411850427909,-0.6104322524598257,0.4017264553348687,-0.4773898042561323,0.2786283207081455,1.549,0.136,3.182,1.7,100.0985
10,2014-11-30,-0.36071554997898403,-0.7605288566464635,-0.03262411605184045,-0.6551860070142812,0.42941454152245556,1.533,0.134,2.887,1.3,100.2853
11,2014-12-31,-0.3159783675108874,-0.6854805545531446,-0.5140906816228706,-0.8774312604619674,0.596102735302717,1.541,0.135,2.56,0.8,100.4918
12,2015-01-31,-0.28801762846832646,-0.46033564827318785,-1.1766593498398852,-1.2774727166678026,0.70644789796501,1.546,0.138,2.11,-0.1,100.6285
13,2015-02-28,-0.2656490372342782,-0.46033564827318785,-0.9719992501017404,-1.2330236659782654,0.7545574202376711,1.55,0.138,2.249,0.0,100.6881
14,2015-03-31,-0.29360977627683915,-0.6104322524598257,-0.627463542628893,-1.2774727166678026,0.7527815653886788,1.545,0.136,2.483,-0.1,100.6859
15,2015-04-30,-0.3271626631279116,-0.5353839503665068,-0.6245187929923733,-1.32192176735734,0.6993444785690405,1.539,0.137,2.485,-0.2,100.6197
16,2015-05-31,-0.6403229404045865,-0.5353839503665068,-0.19753009569696411,-1.2330236659782654,0.6576926102927172,1.483,0.137,2.775,0.0,100.5681
17,2015-06-30,-0.4613742105322014,-0.08509413780659533,-0.11360473105614241,-1.1885746152887282,0.5698685159426272,1.515,0.143,2.832,0.1,100.4593
18,2015-07-31,-0.6179543491705383,-0.16014243989991425,-0.11360473105614241,-1.1441255645991908,0.49778495320859795,1.487,0.142,2.832,0.2,100.37
19,2015-08-31,-0.9478910698727513,-0.16014243989991425,-0.3388780782499273,-1.1441255645991908,0.4742952367969478,1.428,0.142,2.679,0.2,100.3409
20,2015-09-30,-1.0205889913834076,-0.23519074199323317,-0.7585049014540358,-1.2330236659782654,0.5592133868486846,1.415,0.141,2.394,0.0,100.4461
21,2015-10-31,-0.9367067742557271,-0.6104322524598257,-0.913104257371339,-1.1441255645991908,0.6681862980367578,1.43,0.136,2.289,0.2,100.5811
22,2015-11-30,-0.6347307925960751,-0.7605288566464635,-1.0662312384703825,-1.0107784125305792,0.7048334844659198,1.484,0.134,2.185,0.5,100.6265
23,2015-12-31,-0.8975617395961419,-0.8355771587397824,-1.2502780907528863,-0.9218803111515048,0.6505084702218025,1.437,0.133,2.06,0.7,100.5592
24,2016-01-31,-0.9422989220642386,-0.7605288566464635,-1.3872089488510693,-0.6107369563247441,0.563087979246485,1.429,0.134,1.967,1.4,100.4509
25,2016-02-29,-0.6682836794471475,-0.7605288566464635,-1.6816839125030758,-0.788533159082893,0.5119917920005254,1.478,0.134,1.767,1.0,100.3876
26,2016-03-31,-0.752165896574828,-0.7605288566464635,-1.4004603222154097,-0.8329822097724303,0.5153820603485963,1.463,0.134,1.958,0.9,100.3918
27,2016-04-30,-0.5676250188939301,-0.7605288566464635,-1.1413223542016442,-0.7440841083933557,0.5581640180742805,1.496,0.134,2.134,1.1,100.4448
